sample_id,session_id,timestamp_utc,t_session_s,target_id,tracker_serial,feature_stage,feature_kinematic_model_version,feature_link1_length_mm,feature_link2_length_mm,feature_q1_delta_deg,feature_q2_delta_deg,feature_q3_delta_deg,feature_q1_delta_rad,feature_q2_delta_rad,feature_q3_delta_rad,feature_target_x_mm,feature_target_y_mm,feature_target_z_mm,feature_pan_init_deg,feature_lift_init_deg,feature_elbow_init_deg,feature_pan_target_deg,feature_lift_target_deg,feature_elbow_target_deg,feature_velocity_deg_s,feature_hold_s,feature_status_armed,feature_status_fault,feature_status_enabled_axes,feature_status_configured_axes,feature_pan_pos_raw,feature_pan_logical_deg,feature_pan_reported_target_deg,feature_pan_load_raw,feature_pan_voltage_raw,feature_pan_temperature_c,feature_pan_current_raw,feature_lift_pos_raw,feature_lift_logical_deg,feature_lift_reported_target_deg,feature_lift_load_raw,feature_lift_voltage_raw,feature_lift_temperature_c,feature_lift_current_raw,feature_elbow_pos_raw,feature_elbow_logical_deg,feature_elbow_reported_target_deg,feature_elbow_load_raw,feature_elbow_voltage_raw,feature_elbow_temperature_c,feature_elbow_current_raw,label_window_mean_x_mm_relative,label_window_mean_y_mm_relative,label_window_mean_z_mm_relative,label_window_std_mm,label_window_max_span_mm,label_sample_count,label_window_start_s,label_window_end_s,tracker_valid_ratio,quality_flags
2000011,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.866187+00:00,,SYNRAW000011,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-16.563,28.925,14.635,-0.2890788840078208,0.5048364861393598,0.2554289360293701,-109.40203315048092,-116.1677102287407,282.92206088741676,77.4,79.2,66.4,60.837,108.125,81.03500000000001,8.0,0.45,synthetic,synthetic,3,3,1378,60.959317665896336,60.959317665896336,23,124,37,3,2396,108.72312006908773,108.72312006908773,105,123,44,8,1538,81.28669279291888,81.28669279291888,27,124,36,1,523.7612972549952,-329.33775001291497,381.48640648623615,2.192666088117629,6.058477401274146,8,,,1.0,synthetic_nonlinear_interp
2000012,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.867187+00:00,,SYNRAW000012,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-15.001,-5.993,53.762,-0.26181684109166936,-0.10459758207202018,0.9383239124571915,-81.96407617088158,-112.02020817369053,116.7661227968865,77.4,79.2,66.4,62.39900000000001,73.20700000000001,120.162,8.0,0.45,synthetic,synthetic,3,3,1408,62.851051362681794,62.851051362681794,30,124,36,2,1836,73.6686933925539,73.6686933925539,70,123,42,4,2210,120.53822705240357,120.53822705240357,51,124,37,2,548.0720593986731,-151.8721700661671,219.60215327213803,2.0308229413546752,5.639357259346226,8,,,1.0,synthetic_nonlinear_interp
2000013,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.868187+00:00,,SYNRAW000013,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,7.019,21.53,44.311,0.12250466019748199,0.3757693879543792,0.7733728448512074,-141.7831533008187,44.10408322085935,292.5791460662117,77.4,79.2,66.4,84.41900000000001,100.73,110.71100000000001,8.0,0.45,synthetic,synthetic,3,3,1749,84.12481626725015,84.12481626725015,-28,124,36,1,2281,101.53025787475137,101.53025787475137,120,123,45,9,2044,110.83908405886692,110.83908405886692,29,124,37,1,353.5147930140478,-332.5049013557021,219.68000996054448,2.7571367452352202,7.834682537677101,7,,,1.0,synthetic_nonlinear_interp
2000014,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.869187+00:00,,SYNRAW000014,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-19.897,-5.419,69.307,-0.3472681612693117,-0.0945793921655727,1.2096353446797101,-136.39811493257693,-131.6005124172886,151.25554838791223,77.4,79.2,66.4,57.50300000000001,73.781,135.707,8.0,0.45,synthetic,synthetic,3,3,1323,57.52172162677284,57.52172162677284,10,124,38,1,1846,74.33578197455194,74.33578197455194,83,123,43,4,2471,135.80078378937458,135.80078378937458,25,124,38,1,581.81597829515,-194.68297789385213,179.3807186775806,1.5258771390783175,4.072480199987466,7,,,1.0,synthetic_nonlinear_interp
2000015,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.870187+00:00,,SYNRAW000015,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,6.35,12.029,69.608,0.11082840750163991,0.2099456557223979,1.214888785728213,-179.47710279152474,35.669202836976176,260.3953173437003,77.4,79.2,66.4,83.75,91.229,136.008,8.0,0.45,synthetic,synthetic,3,3,1741,83.64016079476315,83.64016079476315,-10,124,38,1,2122,91.56427700135917,91.56427700135917,59,123,46,3,2476,136.07137912892898,136.07137912892898,16,124,39,0,420.50230622046735,-288.05570805473064,152.6577845071381,2.0546530721594176,5.887198204173657,8,,,0.9999999999999999,synthetic_nonlinear_interp
2000016,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.871187+00:00,,SYNRAW000016,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-12.499,11.671,69.147,-0.21814870320677127,0.2036973770002582,1.2068428178765191,-182.007630188199,-70.49138838215043,258.1247809630212,77.4,79.2,66.4,64.90100000000001,90.87100000000001,135.54700000000003,8.0,0.45,synthetic,synthetic,3,3,1441,64.89454100585225,64.89454100585225,3,124,36,1,2119,91.41486072129823,91.41486072129823,74,123,43,4,2469,135.69277930147632,135.69277930147632,17,124,38,0,527.6533200193102,-285.5399793322736,212.2187726771456,1.2351073596119833,3.261898499429878,8,,,1.0,synthetic_nonlinear_interp
2000017,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.872187+00:00,,SYNRAW000017,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,16.384,6.899,45.684,0.28595474464675097,0.1204102650950888,0.7973362154810895,-97.67850680756685,118.28758349288118,194.88272828576555,77.4,79.2,66.4,93.784,86.099,112.084,8.0,0.45,synthetic,synthetic,3,3,1901,93.59418441240973,93.59418441240973,-20,124,38,1,2046,86.81686792557579,86.81686792557579,107,123,44,7,2069,112.31458688222989,112.31458688222989,37,124,38,1,321.9622803457079,-220.81055591249614,150.62050672803068,3.0971697141768186,8.64591722685029,8,,,0.9999999999999999,synthetic_nonlinear_interp
2000018,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.873187+00:00,,SYNRAW000018,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-4.727,26.563,69.479,-0.08250171374177197,0.46361180920725376,1.2126373109931403,-253.55961884774715,-20.378009303006518,333.0434734331527,77.4,79.2,66.4,72.673,105.763,135.87900000000002,8.0,0.45,synthetic,synthetic,3,3,1567,72.77692259730503,72.77692259730503,3,124,34,1,2355,106.14387024286877,106.14387024286877,69,123,40,4,2474,135.9479620894694,135.9479620894694,5,124,36,0,474.77471078917836,-369.1506977621406,196.8061373524161,1.7456161755113364,4.889362423340653,8,,,1.0,synthetic_nonlinear_interp
2000019,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.874187+00:00,,SYNRAW000019,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,12.868,1.127,42.73,0.22458896814663032,0.019669860669976093,0.7457791893771769,-66.99843349558881,98.91611084748166,144.47275079363678,77.4,79.2,66.4,90.268,80.327,109.13,8.0,0.45,synthetic,synthetic,3,3,1849,90.37951326317183,90.37951326317183,-3,124,37,1,1948,80.71972024156685,80.71972024156685,80,123,45,4,2022,109.56681605044311,109.56681605044311,56,124,39,2,348.5976971249325,-168.14419608384773,162.07918262855327,2.9070839351103643,8.196603868177395,7,,,1.0,synthetic_nonlinear_interp
2000020,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.875187+00:00,,SYNRAW000020,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,10.326,22.258,52.645,0.18022269856093448,0.3884753849088979,0.9188285847124148,-175.60340913199713,59.10493270680146,306.7306069562743,77.4,79.2,66.4,87.726,101.458,119.04500000000002,8.0,0.45,synthetic,synthetic,3,3,1800,87.29059536970861,87.29059536970861,-40,124,35,2,2290,102.081836100705,102.081836100705,85,123,41,5,2186,119.15383285570898,119.15383285570898,28,124,36,1,351.2247259191887,-343.7281432230394,177.323728888209,2.1318201635411205,6.096610422373381,8,,,1.0,synthetic_nonlinear_interp
2000021,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.876187+00:00,,SYNRAW000021,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-15.537,23.827,69.637,-0.271171805882359,0.4158596008726889,1.2153949312112913,-247.2402082482657,-70.27230413306538,320.8275166993787,77.4,79.2,66.4,61.86300000000001,103.027,136.037,8.0,0.45,synthetic,synthetic,3,3,1391,61.778633959181285,61.778633959181285,-3,124,37,2,2314,103.58785317480846,103.58785317480846,81,123,44,5,2476,136.07121330512243,136.07121330512243,10,124,38,0,545.4464684255224,-352.83275700247225,223.68373177685788,1.4289111416107352,4.017550122108011,7,,,0.9999999999999997,synthetic_nonlinear_interp
2000022,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.877187+00:00,,SYNRAW000022,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,0.753,6.29,40.087,0.013142329267517301,0.10978120995044333,0.6996501372469669,-63.86160215523612,5.732204458165625,177.64724356626036,77.4,79.2,66.4,78.153,85.49000000000001,106.48700000000001,8.0,0.45,synthetic,synthetic,3,3,1651,77.98598827231507,77.98598827231507,-19,124,37,1,2035,86.14051177978232,86.14051177978232,94,123,47,6,1973,106.6935623639951,106.6935623639951,30,124,38,1,405.7923119781233,-209.04194189486995,245.92371370356406,2.6810668239358995,7.634287344910034,7,,,1.0,synthetic_nonlinear_interp
2000023,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.878187+00:00,,SYNRAW000023,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-21.985,14.922,62.359,-0.38371063605095335,0.2604380309825939,1.088369868251144,-190.36469921840106,-125.00649721122618,272.34346809949784,77.4,79.2,66.4,55.415000000000006,94.122,128.75900000000001,8.0,0.45,synthetic,synthetic,3,3,1292,55.569099784393835,55.569099784393835,25,124,36,2,2174,94.81994294890808,94.81994294890808,95,123,43,6,2352,128.84225798702886,128.84225798702886,20,124,38,0,583.77926355085,-301.0736566628279,245.44752355019162,1.7543262964581383,4.851018740780424,8,,,0.9999999999999999,synthetic_nonlinear_interp
2000024,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.879187+00:00,,SYNRAW000024,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-4.634,30.805,70.067,-0.08087855753741724,0.5376486760768532,1.2228998469948669,-280.7675428052665,-17.769968285202257,350.0455473744064,77.4,79.2,66.4,72.766,110.005,136.46699999999998,8.0,0.45,synthetic,synthetic,3,3,1568,72.80281414715735,72.80281414715735,4,124,34,1,2424,110.46858680752513,110.46858680752513,74,123,40,4,2484,136.56850195451977,136.56850195451977,4,124,36,0,475.77595006266495,-390.727213509121,193.1240209495948,1.2274375227835512,3.423358046787042,8,,,1.0,synthetic_nonlinear_interp
2000025,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.880187+00:00,,SYNRAW000025,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-21.628,28.017,25.169,-0.3774798106213336,0.4889888965312513,0.4392819194344528,-142.39694825157056,-141.7872560338543,301.03705097633093,77.4,79.2,66.4,55.772000000000006,107.217,91.569,8.0,0.45,synthetic,synthetic,3,3,1303,56.27833537107064,56.27833537107064,70,124,36,6,2386,108.13457741719277,108.13457741719277,151,123,45,14,1716,91.68421907664583,91.68421907664583,17,124,36,1,569.925954190822,-351.8116604506729,361.9827259399728,3.1133561414703785,8.77438569246039,8,,,1.0,synthetic_nonlinear_interp
2000026,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.881187+00:00,,SYNRAW000026,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,8.674,26.278,14.555,0.15138985931798812,0.4586376208390699,0.2540326726277747,-84.48678432443474,63.3895011410749,263.5893783156945,77.4,79.2,66.4,86.07400000000001,105.47800000000001,80.95500000000001,8.0,0.45,synthetic,synthetic,3,3,1773,85.65189899090603,85.65189899090603,-26,124,36,1,2366,106.83444973564085,106.83444973564085,186,122,48,17,1536,81.13734296833199,81.13734296833199,37,124,37,1,289.8336318263649,-302.23462358732405,269.1120928787324,3.141498930019919,8.861443390376484,7,,,1.0,synthetic_nonlinear_interp
2000027,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.882187+00:00,,SYNRAW000027,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-0.308,-14.643,58.124,-0.005375614096142535,-0.2555685623695297,1.014455174429184,-64.62985432823132,-2.340404435888901,61.784135488828525,77.4,79.2,66.4,77.092,64.557,124.524,8.0,0.45,synthetic,synthetic,3,3,1633,76.87919445823628,76.87919445823628,-16,124,37,1,1694,64.76549202874455,64.76549202874455,44,123,44,2,2283,124.83194925302408,124.83194925302408,53,124,37,2,492.895112787588,-105.08595426584105,146.07073449547065,1.7887473904237399,4.867546745955525,8,,,1.0,synthetic_nonlinear_interp
